Compound_Name,File_Name,Pose_Number,Affinity,CNNaffinity,CNNvariance,Intramolecular_energy,SMILES
 ZINC000023138330,IHAAMM.xaa_ligand_0022_docked.pdbqt,2.0,-5.93567,5.38714,0.05923,-1.54012,[C](C1=NC(=NC(=O)[C]1)S[C]C1=[C][C]=[C][C]=C1F)C(=O)N[C][C]C1=[C]NC2=[C][C]=[C][C]=C12	
 ZINC000023138286,IHAAMM.xaa_ligand_0023_docked.pdbqt,1.0,-6.05853,5.80547,0.13827,-1.38788,C1(=NC(=NC(=O)[C]1)S[C]C1=[C]C(=[C][C]=[C]1)Cl)[C]C(=O)N[C]C1=C([C]=[C][C]=[C]1)O[C]	
 ZINC000023138338,IHAAMM.xaa_ligand_0024_docked.pdbqt,9.0,-4.27172,5.1127,0.25213,-2.94552,C1(=NC(=NC(=O)[C]1)S[C]C1=[C][C]=[C][C]=C1F)[C]C(=O)N1[C][C]N([C][C]1)C1=[C][C]=[C][C]=[C]1	
 ZINC000023138283,IHAAMM.xaa_ligand_0025_docked.pdbqt,1.0,-5.61802,5.4187,0.0263,-1.35952,C1(=NC(=NC(=O)[C]1)S[C]C1=[C]C(=[C][C]=[C]1)Cl)[C]C(=O)N[C]C1=[C][C]=C([C]=[C]1)O[C]	
 ZINC000023138244,IHAAMM.xaa_ligand_0026_docked.pdbqt,1.0,-5.90494,5.58179,0.12687,-1.34224,C1(=NC(=NC(=O)[C]1)S[C]C1=[C]C(=[C][C]=[C]1)Cl)[C]C(=O)NC1=C([C]=C([C]=[C]1)O[C])O[C]	
 ZINC000023138353,IHAAMM.xaa_ligand_0027_docked.pdbqt,6.0,-4.74355,5.6942,0.04465,-2.78473,C1(=NC(=NC(=O)[C]1)S[C]C1=[C][C]=[C][C]=C1F)[C]C(=O)N[C][C]C1=[C][C]=C([C]=[C]1)O[C]	
 ZINC000023138220,IHAAMM.xaa_ligand_0028_docked.pdbqt,1.0,-5.89606,5.54222,0.00615,-1.23854,C1(=NC(=NC(=O)[C]1)S[C]C1=[C]C(=[C][C]=[C]1)Cl)[C]C(=O)N[C]C1=[C]C2=C([C]=[C]1)O[C]O2	
 ZINC000032943902,IHAAMM.xaa_ligand_0029_docked.pdbqt,5.0,-5.11341,5.02039,0.26977,-0.51624,C1(=[C][C]=C2S[C]([C]N(C(=O)[C])C2=[C]1)[C])S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])Cl	
 ZINC000032943901,IHAAMM.xaa_ligand_0030_docked.pdbqt,5.0,-5.13927,5.09957,0.27261,-0.49384,C1(=[C]C2=C([C]=[C]1)S[C]([C]N2C(=O)[C])[C])S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])Cl	
 ZINC000023138586,IHAAMM.xaa_ligand_0031_docked.pdbqt,9.0,-5.12266,5.52406,0.06024,-1.76785,C1(=C(N=C([N]C1=O)S[C]C1=[C][C]=[C]C(=[C]1)Cl)[C])[C]C(=O)N[C]C1=[C][C]=[C][C]=C1O[C]	
 ZINC000023138610,IHAAMM.xaa_ligand_0032_docked.pdbqt,7.0,-5.34023,5.49901,0.13841,-0.88965,C1(=C(N=C([N]C1=O)S[C]C1=C([C]=[C][C]=[C]1)F)[C])[C]C(=O)NC1=C([C]=C([C]=[C]1)O[C])O[C]	
 ZINC000023138462,IHAAMM.xaa_ligand_0033_docked.pdbqt,2.0,-6.24264,5.40765,0.00547,-0.87398,[C]([C]1C(=NC(=NC1=O)S[C]C1=[C][C]=[C][C]=[C]1)[C])C(=O)N[C][C]C1=[C]NC2=C1[C]=[C][C]=[C]2	
 ZINC000023138565,IHAAMM.xaa_ligand_0034_docked.pdbqt,2.0,-6.23586,5.32899,0.14164,-1.04858,C1(=NC(=C(C(=O)[N]1)[C]C(=O)NC1=[C][C]=[C]C(=[C]1)C(=O)[C])[C])S[C]C1=[C]C(=[C][C]=[C]1)O[C]	
 ZINC000023138550,IHAAMM.xaa_ligand_0035_docked.pdbqt,6.0,-5.71571,5.24601,0.15031,-0.66085,C1(=NC(=C(C(=O)[N]1)[C]C(=O)N1[C][C]C2=C([C]=[C][C]=[C]2)[C]1)[C])S[C]C1=[C]C(=[C][C]=[C]1)O[C]	
 ZINC000032943804,IHAAMM.xaa_ligand_0036_docked.pdbqt,2.0,-5.08689,4.78748,0.12167,-0.57976,[C]C(=O)N1[C][C]SC2=C1[C]=C([C]=[C]2)S(=O)(=O)[N]C1=[C]C(=[C][C]=[C]1)Br	
 ZINC000023138674,IHAAMM.xaa_ligand_0037_docked.pdbqt,6.0,-5.87723,5.69472,0.04403,-0.88832,[C]C1=NC(=NC(=O)[C]1[C]C(=O)N[C]C1=[C][C]=C2O[C]OC2=[C]1)S[C]([C])C1=[C][C]=[C][C]=[C]1	
 ZINC000023138661,IHAAMM.xaa_ligand_0038_docked.pdbqt,4.0,-5.94725,5.2051,0.21003,-0.83922,[C]C1=NC(=NC(=O)[C]1[C]C(=O)N1[C][C]N([C][C]1)C1=[C][C]=[C][C]=[C]1)S[C]([C])C1=[C][C]=[C][C]=[C]1	
 ZINC000023138670,IHAAMM.xaa_ligand_0039_docked.pdbqt,3.0,-5.60764,5.35874,0.07519,-1.27965,[C]C1=NC(=NC(=O)[C]1[C]C(=O)N[C]C1=[C]C2=C([C]=[C]1)O[C]O2)S[C]([C])C1=[C][C]=[C][C]=[C]1	
 ZINC000023138695,IHAAMM.xaa_ligand_0040_docked.pdbqt,8.0,-5.26305,5.84751,0.02097,-1.20313,C1(=C(N=C([N]C1=O)S[C]([C])C1=[C][C]=[C][C]=[C]1)[C])[C]C(=O)N[C][C]C1=[C][C]=C([C]=[C]1)O[C]	
 ZINC000023138701,IHAAMM.xaa_ligand_0041_docked.pdbqt,5.0,-5.34096,5.58455,0.1245,-0.9624,C1(=C(N=C([N]C1=O)S[C]([C])C1=[C][C]=[C][C]=[C]1)[C])[C]C(=O)NC1=[C][C]=C([C]=[C]1)C(=O)O[C]	
 ZINC000035596849,IHAAMM.xaa_ligand_0042_docked.pdbqt,3.0,-5.82665,5.65608,0.32421,-0.76417,[C]C1=NC(=NC(=O)[C]1[C]C(=O)NC1=[C]C2=C([C]=[C]1)O[C]O2)S[C]C1=[C]C(=[C][C]=[C]1)Cl	
 ZINC000023138698,IHAAMM.xaa_ligand_0043_docked.pdbqt,8.0,-5.36169,5.83865,0.21296,-1.35268,C1(=C(N=C([N]C1=O)S[C]([C])C1=[C][C]=[C][C]=[C]1)[C])[C]C(=O)N[C][C]C1=[C][C]=C([C]=[C]1)O[C]	
 ZINC000023138658,IHAAMM.xaa_ligand_0044_docked.pdbqt,7.0,-5.54414,5.21813,0.24438,-0.8688,[C]C1=NC(=NC(=O)[C]1[C]C(=O)N1[C][C]N([C][C]1)C1=[C][C]=[C][C]=[C]1)S[C]([C])C1=[C][C]=[C][C]=[C]1	
 ZINC000023138704,IHAAMM.xaa_ligand_0045_docked.pdbqt,2.0,-5.64948,5.76593,0.25912,-1.0019,C1(=C(N=C([N]C1=O)S[C]([C])C1=[C][C]=[C][C]=[C]1)[C])[C]C(=O)NC1=[C][C]=C([C]=[C]1)C(=O)O[C]	
