Compound_Name,File_Name,Pose_Number,Affinity,CNNaffinity,CNNvariance,Intramolecular_energy,SMILES
 ZINC000009167608,IHAAMM.xaa_ligand_1169_docked.pdbqt,8.0,-4.97577,5.29656,0.16184,-0.97011,N1(C2=C([C]=C([C]=[C]2)[N]S(=O)(=O)C2=[C][C]=C(C(=[C]2)F)O[C])O[C]C([C])([C])C1=O)[C][C][C]	
 ZINC000032882261,IHAAMM.xaa_ligand_1170_docked.pdbqt,4.0,-4.93205,5.47221,0.27411,-1.16549,C(=O)(N1[C]=[C]C2=[C]C(=[C][C]=C12)C1=[C]SC(=N1)[C])[C][C]C1=C(N=C([N]C1=O)S[C])[C]	
 ZINC000009167426,IHAAMM.xaa_ligand_1171_docked.pdbqt,4.0,-4.91677,5.21487,0.20031,-1.18405,N1(C2=C([C]=C([C]=[C]2)[N]S(=O)(=O)C2=[C]C(=C([C]=[C]2)O[C])O[C])O[C]C([C])([C])C1=O)[C][C][C]	
 ZINC000009167380,IHAAMM.xaa_ligand_1172_docked.pdbqt,9.0,-4.9677,5.16867,0.23289,-0.91663,N1(C2=C([C]=C([C]=[C]2)[N]S(=O)(=O)C2=[C][C]=C([C]=[C]2)NC(=O)[C])O[C]C([C])([C])C1=O)[C][C][C]	
 ZINC000009169018,IHAAMM.xaa_ligand_1173_docked.pdbqt,1.0,-5.94222,5.30942,0.06632,-0.28162,S(=O)(=O)(C1=[C][C]=C([C]=C1[C])NC(=O)[C][C])[N]C1=[C]C2=C([C]=[C]1)NC(=O)C([C]O2)([C])[C]	
 ZINC000009169002,IHAAMM.xaa_ligand_1174_docked.pdbqt,1.0,-5.75359,5.26489,0.08403,-0.69309,S(=O)(=O)(C1=[C][C]=C([C]=[C]1)NC(=O)[C][C][C])[N]C1=[C]C2=C([C]=[C]1)NC(=O)C([C]O2)([C])[C]	
 ZINC000009169903,IHAAMM.xaa_ligand_1175_docked.pdbqt,2.0,-5.25113,5.07797,0.22635,-1.09911,[C]N1C2=C([C]=[C]C(=[C]2)[N]S(=O)(=O)C2=[C][C]=C([C]=[C]2)Br)O[C]C([C])([C])C1=O	
 ZINC000009171943,IHAAMM.xaa_ligand_1176_docked.pdbqt,4.0,-5.18294,5.44923,0.10359,-0.95204,N1(C2=C([C]=[C]C(=[C]2)[N]S(=O)(=O)C2=[C]C(=C([C]=[C]2)O[C])F)O[C]C([C])([C])C1=O)[C][C][C]	
 ZINC000009173328,IHAAMM.xaa_ligand_1177_docked.pdbqt,1.0,-5.73077,5.14698,0.06724,-0.63104,[C]C1([C]OC2=C([C]=C([C]=[C]2)[N]S(=O)(=O)C2=[C][C]=C([C]=[C]2)Br)NC1=O)[C]	
 ZINC000009187276,IHAAMM.xaa_ligand_1178_docked.pdbqt,6.0,-5.88937,5.21114,0.36015,-0.67099,C1(=[C][C]=c2c(=[C]1)nc1[C]N([C][C]n21)[C][C]C1=[C][C]=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1	
 ZINC000009203425,IHAAMM.xaa_ligand_1179_docked.pdbqt,3.0,-5.64101,5.13107,0.1279,-0.73435,C1(=[C][C]=[C]C(=[C]1)S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)C(F)(F)F)NC(=O)C1=N[C]=C([C])N=[C]1	
 ZINC000009203430,IHAAMM.xaa_ligand_1180_docked.pdbqt,5.0,-5.64625,5.69561,0.20065,-1.20456,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=[C][C]=[C]C(=[C]1)C(=O)N[C]1[C][C]1)S(=O)(=O)[N]C1=[C][C]=C([C])[C]=[C]1	
 ZINC000009211525,IHAAMM.xaa_ligand_1181_docked.pdbqt,2.0,-6.57584,5.7485,0.16032,-0.40331,C1(=[C][C]=C([C]=[C]1)[C]N1C(=O)C2=C(N=[C][C]=[C]2)C1=O)S(=O)(=O)[N]C1=C([C])[C]=C([C]=[C]1)Cl	
 ZINC000009220056,IHAAMM.xaa_ligand_1182_docked.pdbqt,4.0,-5.69434,5.66685,0.08306,-1.59158,N(C(=O)C1=[C]C(=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1)[C]([C])C1=[C][C]=C([C]=[C]1)N1[C]=N[C]=N1	
 ZINC000009220055,IHAAMM.xaa_ligand_1183_docked.pdbqt,2.0,-6.38423,5.79854,0.04495,-1.23043,N(C(=O)C1=[C][C]=[C]C(=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1)[C]([C])C1=[C][C]=C([C]=[C]1)N1[C]=N[C]=N1	
 ZINC000009222176,IHAAMM.xaa_ligand_1184_docked.pdbqt,9.0,-4.87303,5.48448,0.09613,-1.56164,C1(=[C][C]=C([C]=[C]1)c1nnc2[C][C][C][C][C]n12)[N]S(=O)(=O)C1=[C][C]=C2O[C][C][C]OC2=[C]1	
 ZINC000000628269,IHAAMM.xaa_ligand_1185_docked.pdbqt,1.0,-5.4832,5.59232,0.40313,-0.93776,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)NC1=[C][C]=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)O[C][C]	
 ZINC000009228293,IHAAMM.xaa_ligand_1186_docked.pdbqt,4.0,-5.83084,5.33129,0.05169,-0.98084,C1(=C([C]=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)[C])S[C]C1=NC2=[C][C]([C])ON2C(=O)[C]1	
 ZINC000000628742,IHAAMM.xaa_ligand_1187_docked.pdbqt,6.0,-5.4138,5.67552,0.38448,-0.93106,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)NC1=[C][C]=C([C]=[C]1)[C])[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)O[C][C]	
 ZINC000015269449,IHAAMM.xaa_ligand_1188_docked.pdbqt,3.0,-5.8728,5.17515,0.18222,-0.88857,[C]C1=[C][C]=C([C]=C1[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)F)C(=O)NC1=[C]C2=C([C]=[C]1)O[C][C]O2	
 ZINC000000631139,IHAAMM.xaa_ligand_1189_docked.pdbqt,2.0,-5.97846,5.26122,0.11891,-0.62583,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=[C][C]=C2O[C][C]OC2=[C]1)[N]S(=O)(=O)C1=[C]C(=[C][C]=[C]1)O[C]	
 ZINC000009252880,IHAAMM.xaa_ligand_1190_docked.pdbqt,3.0,-4.99349,5.6184,0.10574,0.44126,[C][C](C(=O)Nc1nc2[C]=[C][C]=[C]c2s1)[N]S(=O)(=O)C1=C([C]=[C][C]=C1Cl)Cl	
 ZINC000009252883,IHAAMM.xaa_ligand_1191_docked.pdbqt,6.0,-4.91143,5.60594,0.27987,0.49195,[C][C](C(=O)Nc1nc2[C]=[C][C]=[C]c2s1)[N]S(=O)(=O)C1=C([C]=[C][C]=C1Cl)Cl	
 ZINC000032898942,IHAAMM.xaa_ligand_1192_docked.pdbqt,9.0,-5.3818,5.12007,0.1374,-0.88671,[C]1([C][C]N([C][C]1)C(=O)C1=[C][C]=C(C(=[C]1)N1[C][C][C]C1=O)Cl)C(=O)C1=[C][C]=C([C]=[C]1)[O]	
 ZINC000009274221,IHAAMM.xaa_ligand_1193_docked.pdbqt,2.0,-6.19978,5.46809,0.23866,-0.85087,C1(=[C][C]=C(S1)[C]N1C(=O)C2=[C][C]=[C]N=C2C1=O)S(=O)(=O)[N]C1=C(Cl)[C]=C([C])[C]=[C]1	
 ZINC000032889614,IHAAMM.xaa_ligand_1194_docked.pdbqt,7.0,-5.41272,5.21418,0.18903,-0.72923,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=[C]N=C([C]=[C]1)N([C])[C])[N]S(=O)(=O)C1=[C][C]=C(C(=[C]1)[C])F	
 ZINC000009283330,IHAAMM.xaa_ligand_1195_docked.pdbqt,9.0,-5.092,5.77215,0.045,-1.58101,C1(=[C]C(=[C][C]=[C]1)C(=O)N[C]C1=[C][C]=C([C]=[C]1)F)S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)O[C][C]	
 ZINC000009283124,IHAAMM.xaa_ligand_1196_docked.pdbqt,9.0,-5.20494,5.38703,0.07917,-1.05451,[C]1(C(=O)N=C(S1)[C]C(=O)NC1=[C][C]=C([C]=[C]1)[C])[C]C(=O)NC1=[C][C]=C([C]=[C]1)O[C][C]	
 ZINC000000642719,IHAAMM.xaa_ligand_1197_docked.pdbqt,9.0,-4.22407,4.47022,0.09828,-0.24041,O=S(=O)(C1=[C][C]=C([C]=[C]1)I)[N]C1=[C][C]=C([C]=[C]1)Br	
 ZINC000009285385,IHAAMM.xaa_ligand_1198_docked.pdbqt,2.0,-5.61524,5.73152,0.11979,-1.56788,C1(=C(N=C2C(=N[C]1NC(=O)C1=[C][C]=C([C]=[C]1)[C]OC(=O)[C])[C]=[C][C]=[C]2)[C][C])C(=O)O[C][C]	
 ZINC000009290397,IHAAMM.xaa_ligand_1199_docked.pdbqt,2.0,-5.35967,4.9794,0.09885,-0.27862,C1(=NC(=O)[C]2C(=N1)OC1=C([C]2)[C]=C([C]=[C]1)Br)C1=C(C(=C([C]=[C]1)O[C])O[C])O[C]	
 ZINC000009290395,IHAAMM.xaa_ligand_1200_docked.pdbqt,1.0,-5.89552,5.20715,0.0381,-0.53262,C1(=NC(=O)[C]2C(=N1)OC1=C([C]2)[C]=C([C]=[C]1)Br)C1=[C]C(=C(C(=[C]1)O[C])O[C])O[C]	
 ZINC000009290437,IHAAMM.xaa_ligand_1201_docked.pdbqt,7.0,-4.72572,5.07675,0.14032,-0.40436,C1(=C2C(=[C]C(=[C]1)Br)[C][C]1C(=O)N=C(N=C1O2)C1=C(C(=[C][C]=[C]1)O[C])O[C])O[C]	
 ZINC000009290445,IHAAMM.xaa_ligand_1202_docked.pdbqt,7.0,-5.0608,5.19136,0.10234,-0.54198,C1(=NC(=O)[C]2C(=N1)OC1=C([C]=C([C]=C1[C]2)Br)O[C])C1=C([C]=[C]C(=[C]1)O[C])O[C]	
 ZINC000020990241,IHAAMM.xaa_ligand_1203_docked.pdbqt,4.0,-5.74612,5.49992,0.08039,-0.00522,C1(=C([C]=c2c(=[C]1)[nH]c1[C][C][C]C(=O)c21)[C])S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)C(=O)O[C][C]	
 ZINC000020247224,IHAAMM.xaa_ligand_1204_docked.pdbqt,1.0,-5.65212,5.28762,0.04498,-1.1055,[C]c1c(c(=O)n([nH]1)C1=[C][C]=[C][C]=[C]1)[C](C(=O)[O])[C]C(=O)C1=[C][C]=C([C]=[C]1)Br	
 ZINC000020247220,IHAAMM.xaa_ligand_1205_docked.pdbqt,2.0,-6.2886,5.22367,0.16239,-0.61,[C]c1c(c(=O)n([nH]1)C1=[C][C]=[C][C]=[C]1)[C](C(=O)[O])[C]C(=O)C1=[C][C]=C([C]=[C]1)Br	
 ZINC000009337780,IHAAMM.xaa_ligand_1206_docked.pdbqt,1.0,-5.80881,4.86553,0.38168,-0.41574,C1(=[C]C(=[C][C]=[C]1)S(=O)(=O)[N]C1=[C][C]=C2O[C]OC2=[C]1)C(=O)N([C])[C]C1=[C]S[C]=[C]1	
 ZINC000009338640,IHAAMM.xaa_ligand_1207_docked.pdbqt,4.0,-4.4022,5.02145,0.03828,-1.72688,C1(=[C]C(=[C][C]=C1[C])S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)Cl)NC(=S)N[C][C][C]O[C]	
 ZINC000009339503,IHAAMM.xaa_ligand_1208_docked.pdbqt,7.0,-5.09688,5.56723,0.20213,-0.61029,C1(=C([C]=[C]C(=[C]1)C(=O)NC1=N[C]=[C]S1)[C])S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)[C][C][C][C]	
 ZINC000009340423,IHAAMM.xaa_ligand_1209_docked.pdbqt,1.0,-7.16448,6.00943,0.17432,-0.88754,[C]c1c(c2[C]=c3c(=[C]c2o1)oc(=O)c(c3[C])[C][C]C(=O)NC1=NN=N[N]1)C1=[C][C]=[C][C]=[C]1	
 ZINC000009340423,IHAAMM.xaa_ligand_1210_docked.pdbqt,1.0,-7.14871,5.98585,0.17448,-0.85822,[C]c1c(c2[C]=c3c(=[C]c2o1)oc(=O)c(c3[C])[C][C]C(=O)NC1=NN=N[N]1)C1=[C][C]=[C][C]=[C]1	
 ZINC000009352270,IHAAMM.xaa_ligand_1211_docked.pdbqt,1.0,-5.93822,5.36328,0.10032,-1.01957,C1(=[C]C(=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C(C(=[C]1)F)F)C(=O)N[C][C]C1=[C][C]=C([C]=[C]1)O[C]	
 ZINC000009352296,IHAAMM.xaa_ligand_1212_docked.pdbqt,5.0,-6.02432,5.22883,0.05478,-0.53274,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=[C][C]=C2O[C]OC2=[C]1)[N]S(=O)(=O)C1=[C][C]=C(C(=[C]1)[C])F	
 ZINC000009353345,IHAAMM.xaa_ligand_1213_docked.pdbqt,1.0,-6.04239,5.88674,0.03516,0.82479,[C](c1c([nH]n(c1=O)C1=[C][C]=[C][C]=[C]1)[C])(C1=C([C])[N]N(C1=O)C1=[C][C]=[C][C]=[C]1)C1=[C][C]=N[C]=[C]1	
 ZINC000009356168,IHAAMM.xaa_ligand_1214_docked.pdbqt,4.0,-5.0778,5.58268,0.21349,-1.39059,C1(=[C][C]=C([C]=C1C(=O)N1[C][C][C][C][C][C]1)S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)C(=O)[C])O[C]	
 ZINC000009356522,IHAAMM.xaa_ligand_1215_docked.pdbqt,3.0,-6.09561,5.30889,0.14682,-0.85346,C1(=C([C]=C([C]=[C]1)S(=O)(=O)[N]C1=[C][C]=C2O[C][C]OC2=[C]1)F)NC(=O)C1=[C][C]=[C][C]=[C]1	
 ZINC000013576897,IHAAMM.xaa_ligand_1216_docked.pdbqt,4.0,-5.32983,5.57822,0.00772,-0.47709,N1(C(=S)[N]C(=O)C2=C1N[C]N([C]2)[C]C1=[C][C]=[C][C]=[C]1)[C][C]C1=[C][C]=C(C(=[C]1)O[C])O[C]	
 ZINC000009367483,IHAAMM.xaa_ligand_1217_docked.pdbqt,6.0,-5.02489,5.06759,0.16578,-0.63461,C1(=[C][C]=[C]C(=[C]1)NC(=O)[C]1[C][C][C]1)S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])Br	
 ZINC000031833868,IHAAMM.xaa_ligand_1218_docked.pdbqt,7.0,-4.90717,5.54945,0.13181,-1.2089,C1(=[C][C]=C2N=C(C(=[C]C2=[C]1)/[C]=C/1\C(=O)[N]C(=S)N1C(=O)[C])SC1=[C][C]=[C][C]=[C]1)O[C]	
 ZINC000009373611,IHAAMM.xaa_ligand_1219_docked.pdbqt,3.0,-5.56965,5.32063,0.29614,-0.91383,C1(=[C]C(=[C][C]=C1[C])S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)[C])C(=O)N1[C][C][C]([C][C]1)C(=O)O[C][C]	
 ZINC000009373615,IHAAMM.xaa_ligand_1220_docked.pdbqt,1.0,-5.17719,5.21157,0.25276,-0.88356,C1(=[C]C(=[C][C]=[C]1)S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)S[C](F)F)NC(=S)N[C][C]O[C]	
 ZINC000015420408,IHAAMM.xaa_ligand_1221_docked.pdbqt,7.0,-5.53374,5.30066,0.22062,-0.692,C1(=[C][C]=C([C]=[C]1)[N]S(=O)(=O)C1=[C]C(=C([C]=[C]1)F)F)C(=O)NC1=[C][C]=C([C]=[C]1)C(=O)O[C]	
 ZINC000009376543,IHAAMM.xaa_ligand_1222_docked.pdbqt,7.0,-5.91786,5.78571,0.04527,-0.31524,C1(=[C]C(=[C][C]=[C]1)C(=O)N[C]C1=[C]N2[C]=[C][C]=[C]C2=N1)[N]S(=O)(=O)C1=C([C]=[C]C(=[C]1)[C])[C]	
 ZINC000009376469,IHAAMM.xaa_ligand_1223_docked.pdbqt,2.0,-5.9031,5.41226,0.03686,-0.31952,C1(=[C][C]=C([C]=[C]1)C(=O)N[C]C1=[C]N2[C]=[C][C]=[C]C2=N1)[N]S(=O)(=O)C1=C([C]=[C]C(=[C]1)[C])[C]	
 ZINC000009376589,IHAAMM.xaa_ligand_1224_docked.pdbqt,7.0,-4.87426,5.31202,0.13084,-1.64441,C1(=[C]C(=[C][C]=C1Cl)S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)F)C(=O)N[C]C1=[C]N=C([C]=[C]1)O[C]	
 ZINC000015434399,IHAAMM.xaa_ligand_1225_docked.pdbqt,5.0,-5.13409,5.27193,0.03284,-1.17195,C1(=[C][C]=[C]C(=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)Br)C(=O)N[C]C1=[C]N=[C][C]=[C]1	
 ZINC000015434248,IHAAMM.xaa_ligand_1226_docked.pdbqt,6.0,-5.31509,5.1704,0.06926,-0.6921,C1(=[C]C(=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)Br)C(=O)N[C]C1=[C][C]=[C][C]=N1	
 ZINC000009378073,IHAAMM.xaa_ligand_1227_docked.pdbqt,6.0,-5.59948,5.60619,0.16329,-0.77266,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)Cl)C(=O)N[C]C1=[C]N2[C]=[C][C]=[C]C2=N1	
 ZINC000015434316,IHAAMM.xaa_ligand_1228_docked.pdbqt,5.0,-5.20801,5.24503,0.06348,-1.03811,C1(=[C][C]=[C]C(=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)Br)C(=O)N[C]C1=[C][C]=N[C]=[C]1	
 ZINC000012180612,IHAAMM.xaa_ligand_1229_docked.pdbqt,1.0,-5.76103,5.80735,0.40995,-0.39681,N1([C][C][C]C2=[C][C]=C([C]=C12)[N]S(=O)(=O)C1=[C][C]=C(C(=[C]1)Cl)F)S(=O)(=O)[C][C][C]	
 ZINC000012180630,IHAAMM.xaa_ligand_1230_docked.pdbqt,1.0,-5.2018,5.66809,0.20879,0.18223,N1([C][C][C]C2=C1[C]=C([C]=[C]2)[N]S(=O)(=O)C1=C([C]=[C]C(=[C]1)Cl)[C])S(=O)(=O)[C][C][C]	
 ZINC000012180628,IHAAMM.xaa_ligand_1231_docked.pdbqt,1.0,-5.56068,5.32487,0.35152,-0.01041,N1([C][C][C]C2=C1[C]=C([C]=[C]2)[N]S(=O)(=O)C1=[C][C]=C(C(=[C]1)Cl)[C])S(=O)(=O)[C][C][C]	
 ZINC000009393857,IHAAMM.xaa_ligand_1232_docked.pdbqt,1.0,-5.34937,5.47558,0.10963,-1.32941,C1(=C(C2=C(N[C]1[C])[N]C(=NC2=O)S[C]C1=[C][C]=[C][C]=[C]1)C1=[C][C]=N[C]=[C]1)C(=O)O[C][C]	
 ZINC000009393859,IHAAMM.xaa_ligand_1233_docked.pdbqt,9.0,-4.87835,5.45948,0.20352,-1.22878,C1(=C(C2=C(N[C]1[C])[N]C(=NC2=O)S[C]C1=[C][C]=[C][C]=[C]1)C1=[C][C]=N[C]=[C]1)C(=O)O[C][C]	
 ZINC000009393848,IHAAMM.xaa_ligand_1234_docked.pdbqt,1.0,-5.35161,5.49932,0.12364,-1.36321,C1(=C(C2=C(N[C]1[C])[N]C(=NC2=O)S[C]C1=[C][C]=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)C(=O)O[C][C]	
 ZINC000009393850,IHAAMM.xaa_ligand_1235_docked.pdbqt,4.0,-5.40384,5.46871,0.06251,-1.02196,C1(=C(C2=C(N[C]1[C])[N]C(=NC2=O)S[C]C1=[C][C]=[C][C]=[C]1)C1=[C][C]=[C]N=[C]1)C(=O)O[C][C]	
 ZINC000009393893,IHAAMM.xaa_ligand_1236_docked.pdbqt,2.0,-5.51028,5.5335,0.09905,-1.02338,C1(=C(C2=C(N[C]1[C])[N]C(=NC2=O)S[C]C1=C([C]=[C][C]=[C]1)F)C1=[C]N=[C][C]=[C]1)C(=O)O[C]	
 ZINC000009393890,IHAAMM.xaa_ligand_1237_docked.pdbqt,5.0,-5.39846,5.46289,0.04771,-0.99552,C1(=C(C2=C(N[C]1[C])[N]C(=NC2=O)S[C]C1=[C][C]=[C][C]=C1F)C1=[C][C]=[C]N=[C]1)C(=O)O[C]	
 ZINC000013592093,IHAAMM.xaa_ligand_1238_docked.pdbqt,9.0,-5.80017,5.45072,0.02701,-0.7494,C1(=Nn2c(nc(c(c2=O)[C]C2=[C][C]=[C][C]=[C]2)[C])[N]1)NC(=O)[C]OC1=C([C])[C]=C([C]=[C]1)Cl	
 ZINC000000670870,IHAAMM.xaa_ligand_1239_docked.pdbqt,8.0,-4.40123,5.04132,0.32781,-1.72785,C1(=[C][C]=C([C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)Cl)S(=O)(=O)N1[C][C][C]([C])[C][C]1	
 ZINC000000670867,IHAAMM.xaa_ligand_1240_docked.pdbqt,1.0,-5.39747,5.56431,0.12921,-1.57602,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)N1[C]=[C]C2=[C][C]=[C][C]=C12)[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)Cl	
 ZINC000009411768,IHAAMM.xaa_ligand_1241_docked.pdbqt,7.0,-5.70769,5.44883,0.11958,-0.69879,O=C(NC1=[C]C(=[C][C]=[C]1)C(=O)N[C]1[C][C]1)C1=[C][C]=C([C]=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1	
 ZINC000012650691,IHAAMM.xaa_ligand_1242_docked.pdbqt,1.0,-5.58655,5.29173,0.63485,-1.08104,[N](C1=[C][C]=[C][C]=C1SC1=NN=[C]N1[C])S(=O)(=O)C1=[C][C]=C([C]=[C]1)OC(F)(F)F	
 ZINC000009413455,IHAAMM.xaa_ligand_1243_docked.pdbqt,3.0,-5.75213,5.24214,0.0797,-0.85863,C1(=[C][C]=C([C]=[C]1)C(=O)N[C]1[C][C][C][C][C][C]1)NC(=O)[C][C]1C(=O)N=C(S1)N1[C][C][C][C]1	
 ZINC000009413497,IHAAMM.xaa_ligand_1244_docked.pdbqt,4.0,-5.39419,5.13196,0.09268,-0.80025,C1(=[C][C]=C([C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C2O[C][C]OC2=[C]1)NC(=O)[C][C]C1=[C][C]=[C]S1	
 ZINC000009413462,IHAAMM.xaa_ligand_1245_docked.pdbqt,7.0,-5.71664,5.39826,0.10896,-0.7605,C1(=[C][C]=C([C]=[C]1)C(=O)N[C]1[C][C][C][C][C][C]1)NC(=O)[C][C]1C(=O)N=C(S1)N1[C][C][C][C]1	
 ZINC000009421468,IHAAMM.xaa_ligand_1246_docked.pdbqt,9.0,-5.27897,5.15824,0.35589,-0.5974,c1(nc2=[C]C(=[C][C]=c2n1[C])[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1)[C]SC1=N[C]=[C]C(=N1)[C]	
 ZINC000015541292,IHAAMM.xaa_ligand_1247_docked.pdbqt,6.0,-5.77598,5.53878,0.14117,-0.24111,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=[C]c2c([C]=[C]1)[nH]c(=O)[nH]2)[N]S(=O)(=O)C1=C([C]=[C]C(=[C]1)[C])[C]	
 ZINC000013609229,IHAAMM.xaa_ligand_1248_docked.pdbqt,5.0,-5.89787,5.41818,0.04407,-0.94796,C(=O)(N[C][C]C1=[C]NC2=[C][C]=C([C]=C12)Cl)[C]c1c([C])c2c(oc1=O)[C]=C([C]=C2[O])O	
 ZINC000000675464,IHAAMM.xaa_ligand_1249_docked.pdbqt,4.0,-4.92547,5.35405,0.12128,-2.16175,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)N([C])[C]C1=[C][C]=[C][C]=[C]1)[N]S(=O)(=O)C1=[C][C]=C([C])[C]=[C]1	
 ZINC000012525831,IHAAMM.xaa_ligand_1250_docked.pdbqt,6.0,-5.68647,4.8944,0.33933,-0.62236,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)C(F)(F)F)C(=O)N1[C][C]([C])O[C]([C]1)[C]	
 ZINC000009439522,IHAAMM.xaa_ligand_1251_docked.pdbqt,6.0,-5.35136,5.63588,0.13991,-1.51712,C(=O)(C1=[C][C]=C([C]=[C]1)S(=O)(=O)[N]C1=[C][C]=[C][C]=[C]1)O[C]C(=O)N[C]1[C][C][C][C]([C])[C]1[C]	
 ZINC000009439529,IHAAMM.xaa_ligand_1252_docked.pdbqt,1.0,-5.65103,5.64974,0.12691,-1.69597,C(=O)(C1=[C][C]=C([C]=[C]1)S(=O)(=O)[N]C1=[C][C]=[C][C]=[C]1)O[C]C(=O)N[C]1[C][C][C][C]([C])[C]1[C]	
 ZINC000022853600,IHAAMM.xaa_ligand_1253_docked.pdbqt,1.0,-4.83479,5.42918,0.06774,-0.37287,[C]([C]1C(=O)n2nc(nc2S1)[C][C])(C1=[C][C]=C([C]=[C]1)Cl)N1[C][C][C]([C][C]1)C(=O)O[C]	
 ZINC000015570621,IHAAMM.xaa_ligand_1254_docked.pdbqt,9.0,-5.56888,5.64203,0.44964,-0.76179,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=[C]c2c([C]=[C]1)[nH]c(=O)[nH]2)[N]S(=O)(=O)C1=[C]C(=C([C])[C]=[C]1)[C]	
 ZINC000032902403,IHAAMM.xaa_ligand_1255_docked.pdbqt,2.0,-5.94853,5.7606,0.09154,-1.63191,C1(=[C][C]=C([C]=[C]1)C(=O)NC1=C([C]=[C][C]=[C]1)C(=O)N[C]1[C][C]1)S(=O)(=O)[N]C1=[C][C]=[C][C]=C1[C]	
 ZINC000015588503,IHAAMM.xaa_ligand_1256_docked.pdbqt,7.0,-6.14667,5.15281,0.19894,-0.18695,C1(=[C]C(=[C][C]=[C]1)S(=O)(=O)[N]C1=[C][C]=C2O[C]OC2=[C]1)C(=O)NC1=[C][C]=C(C(=[C]1)F)F	
 ZINC000009451781,IHAAMM.xaa_ligand_1257_docked.pdbqt,6.0,-5.74897,5.39673,0.11388,-0.5514,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=C([C]=[C]1)Cl)C1=[C]C(=C([C]=[C]1)O)O[C]	
 ZINC000022853588,IHAAMM.xaa_ligand_1258_docked.pdbqt,4.0,-4.61615,5.28183,0.11555,-0.64549,[C]([C]1C(=O)n2nc(nc2S1)[C][C])(C1=[C][C]=[C][C]=C1Cl)N1[C][C][C]([C][C]1)C(=O)O[C]	
 ZINC000009452576,IHAAMM.xaa_ligand_1259_docked.pdbqt,9.0,-5.74037,5.44981,0.18527,-1.33252,C1(=[C][C]=C(O1)S(=O)(=O)[N][C]([C])C1=[C][C]=[C][C]=[C]1)c1n2nc([C])c3c(c2nn1)[C]=[C][C]=[C]3	
 ZINC000013624512,IHAAMM.xaa_ligand_1260_docked.pdbqt,3.0,-6.17014,5.91528,0.19633,-0.7654,C(=O)(N[C]c1nc(no1)C1=[C][C]=C([C]=[C]1)Cl)[C][C]c1c([C])c2c(oc1=O)[C]=C([C]=[C]2)[O]	
 ZINC000013361195,IHAAMM.xaa_ligand_1261_docked.pdbqt,8.0,-5.58951,5.34924,0.09374,-0.65126,c1(nnc(s1)S[C]c1nc2=[C][C]=[C][C]=c2[nH]c1=O)[N]C(=O)C1=C([C]=[C][C]=C1F)F	
 ZINC000013624747,IHAAMM.xaa_ligand_1262_docked.pdbqt,1.0,-5.97287,5.44834,0.09563,-1.09464,C(=O)(N1[C][C]N([C][C]1)c1nsc2=[C][C]=[C][C]=c12)[C][C]c1c([C])c2c(oc1=O)[C]=C([C]=[C]2)[O]	
